slug,resource_id
res-drug-vitamin-a-supplementation,2b831830da1545b4bebc0d5d9d8428bd
res-drug-bcg-vaccine,a009fecdb9614122bd13802e67acdb4e
res-drug-dtp-containing-vaccine,cdabb57da45d4659b9162355dc2f665e
res-drug-haemophilus-influenzae-type-b-vaccine-hib-vaccine,ff82bc1be8974b2eb83e071d105d75be
res-drug-inactivated-polio-vaccine-ipv,a00dfc03855141ce825025532e91f5c2
res-drug-oral-polio-vaccine-opv,da98eb50463f4dfe8ae0829138b7e8db
res-drug-pentavalent-vaccine,7796f6b1dfeb41cc998f2514c71729c0
res-drug-pneumococcal-conjugate,46aeba5fd8064595b962e6a9088bad18
res-drug-rotavirus-vaccine,07c0bd39ed724e9bb666f5e69b642ddd
res-drug-vitamin-d,988bfc5177704e17a6344d5d3beb2617
res-drug-glucose,ed95c33165d4429dbd474f03da798d66
res-drug-insulin,432441fb23c84990af1b610d29125f84
res-drug-metformin,849a148231854bbe878e4da9090dfe25
res-drug-adrenaline,f3c0a9ced0ef4dd39705b9cf611af434
res-drug-ampicillin,674c7dffa86847c6881fb295a1ac02eb
res-drug-artemether-20-mg-lumefantrin-120-mg,6e3497143e874157a370bec3ac9daace
res-drug-artesunate,64b2c29d0b6545948a089d06b6a8589c
res-drug-betamethasone,86546295510648239eede0cbb306a365
res-drug-ceftriaxone,0d2f6d35a11a4e9cb2a399d92e2abed9
res-drug-cefuroxime,f04e5ef6696948b794beee726a67a8e6
res-drug-chloramphenicol,69173cc1916d441b9635fefd9d6fb6e7
res-drug-contraceptives-overview,bf09c856218b4c9c86b050c167c0aab0
res-drug-dexamethasone,056e2cdeb6fe43cdbc972fc1a2d75ffd
res-drug-diazepam,8a8e10966a354c34b6fdd7eb7fecc6b8
res-drug-dicloxacillin,61cc2619331c4c23af5d46e904de72cc
res-drug-ergometrine,59c5ef5d008a4632853cea09c599092d
res-drug-erythromycin,c31ad141321346e0a183eeed1ac8ec91
res-drug-hydralazine,46e249e349334e5c98d3a36031ec12b3
res-drug-indomethacin,d4e0057111b54c45bcdea5074686afe5
res-drug-iron,0c8804d06a2145c3830835158580c20b
res-drug-magnesium-sulphate,5c55306eaad8425788f0ddfd0ab90dfb
res-drug-methyldopa,088e47244e5744b5831c8d7cf74b17eb
res-drug-metronidazole,62df3dba6e35437d8bb1ea5adf8eebf0
res-drug-misoprostol,c9619afb490c47fd9d9a837283057b29
res-drug-morphine,19a62708161b4bf7a437e0b29fbf8ff4
res-drug-nifedipine,3abaebb0020f48d185f07017179d9b57
res-drug-nitrofurantoin,1a227377f3044e129dcda6fb723b56aa
res-drug-oxytocin,6db8edbda48f46789d8456a6589ef00e
res-drug-paracetamol,0224f8c2fa17410a92b82706ffc10b9e
res-drug-penicillin-g-benzylpenicillin,30a57d238ce34e71813d53af6a1db443
res-drug-pethidine,d6d7772d7a1a4c2d9c162300daa3b4aa
res-drug-phenobarbital,1d336cedcf0d4144a86deb2c66820b90
res-drug-quinine,e280af3b94204d9ba125134be6d00d93
res-drug-trimethoprim,f21597d3850d4565877212b3dcd4d4cd
res-drug-vitamin-k,55b0bfa796d4459b8df4ec6ad9c28754
res-drug-contraceptives-implant,4402b41d10f7479c868b8742398924ae
res-drug-contraceptives-injectable-depo-provera,4c51703536984f63b785c212f1850914
res-drug-contraceptives-intrauterine-device,694fc1dcc74a46afb0ac6a193993e1a1
res-drug-gentamicin,8c0e58911ff449b6b3607bb0576ed30c
res-drug-antibiotic-eye-drops,27273198338146c39f94f9b628f516be
res-drug-calcium-gluconate,efdda464e4cb46e59e2f9ebcc837c3e4
res-drug-diclofenac,d92dd6f5d74f4ba9b562039171d898ca
res-drug-ibuprofen,efc06badf25f44c7bc674ea78b96c168
res-drug-labetalol,58c2835a6468423291278286c488c36b
res-drug-post-exposure-prophylaxis-pep,095c6e399b6f4b31a4276113b4bdd2d4
res-drug-tranexamic-acid,eebe06a8949c477b9c7cf84f7180fc97
res-drug-lidocaine,9534b6680d50419c80148e8ffaf61d43
res-drug-tetracycline,8714bfd5149840b3bd6ad3853780047b
res-drug-amoxicillin,85dbc72710984a6d96dc29b87213d879
res-drug-flucloxacillin,171e48ab334a4fe794a380f2f272f58b
res-drug-cloxacillin,72e636085f0040e28b4042365f9d3446
res-drug-cefazolin,2b0b14052be2467e8fb68e9ebdd23444
res-drug-chlorhexidine,c476f86a27f947cda781050e915bb928
res-drug-caffeine-citrate,c143498669f04523a9cde2556d9cecc8
res-drug-cefotaxime,4f2397eee40f4223adcb20ce11cbbf6a
res-drug-aminophylline,a283b46fbf2143c1a7aa47cac65f1c93
res-drug-ketamine,ea785744d82b439aa4ae016eeccb1e8c
res-drug-tramadol,85f8a68b47614273aed2c4cac0dade52
res-drug-carbetocin,fd1ca59f44d84ec1a80797ecaa3d442d
res-drug-fentanyl,449e3990917b4b0c87d97c1b0d357c01
res-drug-mifepristone,06f88c53a89b41aca3ea8e50dad584b6
res-drug-atropine,6748c36969694628815cee19fb94044d
res-drug-mefloquine,11871b73213d4513b7095683214f7d8a
res-drug-dihydroartemisinin,0a4e3522bad44ed4bd596036b4fa6fb7
res-drug-piperaquine,de69cefb6604447a99fe443566203163
res-drug-sulfamethoxazole-with-trimethoprim,aea00c48379d48c38b1178839d8f8bb5
res-drug-nicardipine-loxen,456a36a314354a3ebf46e6f9f1d4fea4
res-drug-xylocaine,fffeeefa4c2a4f7db80750df8ebbc4bf
res-drug-combi-pack-mifepristone-misoprostol-med-ab-1-trimester,f0eb40f3ad9a4b46be8bce69b8159095
res-drug-misoprostol-med-ab-1-trimester,75b40b84ef01429d89a5354392dcff5f
res-drug-combi-pack-mifepristone-misoprostol-med-ab-2-trimester,785c8c350e354904bf2e0e6da808fe70
res-drug-misoprostol-med-ab-2-trimester,67ca758023df411ead35c2d082506e2f
res-drug-misoprostol-sur-ab,615772cf73e3427e885b84dea9bd8e4b
res-drug-combi-pack-letrozole-misoprostol-med-ab-1-trimester,9dd4f017626c48d3be95e2adb799aee9
res-drug-doxycycline,992656a2792b4ec69a254c162f929a2e
res-drug-azithromycin,99f48043e0874c74be46878d87a266be
res-drug-copper-intrauterine-device-iud,ac8fd30e5c9048e4a9bb8270240b43ab
res-drug-hormonal-intrauterine-device-ius,521bfe0b9dc942ee9dcef67fcc43c08b
res-drug-progestin-only-injectables,5c34388030a040d096e68829fb501837
res-drug-monthly-injectables,5c40f77e082d4ea9be7b433d68c45f7f
res-drug-vaginal-rings,86b9bf46d410456381e47c830cb49c1c
res-drug-combined-contraceptive-patch,7a0e285a3ba24484a9fe7e6aa08a4410
res-drug-combined-oral-contraceptives,8da5dc56967947b29573957aeabd16bd
res-drug-progesterone-only-pills,c659e7005cea4900bfad8174a8bc57e0
res-drug-emergency-contraceptive-pills,88d2d7faeaec49d09b3b501fb09058b1
res-drug-clindamycin,dd2547f81768450482045ac98e9e4a82
res-drug-septrin-co-trimoxazole,5b50519c88394c5d8bbddfd9b8f87456
res-drug-calcium-supplementation,50d7c9fde9054ef6acc396fd22617cdf
res-drug-iron-and-folic-acid-supplementation,5b8d48d38f244c6e9a97ab176eb479d1
res-drug-vitamin-a-supplementation,2b831830da1545b4bebc0d5d9d8428bd
res-drug-tetanus-vaccination,265c84af5be245c1b3f5a33490d9f453
res-drug-albendazole,2682c0d13a8346e09c6aa421bbf2afe5
res-drug-mebendazole,b050a66b29b944cc90d73cd1d973c829
res-drug-sulfadoxine-pyrimethamine-iptp-sp,6717325391e04c6790fedf65dfe1120a
res-drug-pre-exposure-prophylaxis-prep,4fb7ad4176e442a1859b7df47a33f6f0
res-drug-vitamin-d,988bfc5177704e17a6344d5d3beb2617
res-drug-bcg-vaccine,a009fecdb9614122bd13802e67acdb4e
res-drug-oral-polio-vaccine-opv,da98eb50463f4dfe8ae0829138b7e8db
res-drug-dtp-containing-vaccine,cdabb57da45d4659b9162355dc2f665e
res-drug-hepatitis-b-vaccine-hbv,4c9e874f43e14f56a182d3a7ff9798e4
