slug,klp_id
klp-1-analgesia-after-deinfibulation,ec2891cc684b400f9e2aae2fda742c19
klp-3-hygiene-for-deinfibulation,2a34be7f11614c5d8dd2bc606d79db49
klp-2-antenatal-deinfibulation,bd707b345076484198fc3f1a503c522a
klp-2-when-antenatal-deinfibulation,c36dae1a926a4150a3433b92bf256d98
klp-3-whom-to-deinfibulate-at-birth,03bb79462a254bcc904e98ac0e09007a
klp-2-when-deinfibulation-at-birth,0c86d30eacdf4f47b30a102e3abe71a7
klp-3-deinfibulation-and-second-stage,d6da3d3068b14e4a80dbc79331ed6f8d
klp-2-episiotomy,758e85a24b0c417aa61847537141f0cf
klp-1-episiotomy-procedure,590656bdd040411d826ad51c8fd5dca4
klp-1-forbidden-re-infibulation,81c615d469b74cdfaa3118b076d4dad9
klp-3-wash-after-deinfibulation,02c3c4cfb79541af9443c9dca1700e46
klp-3-how-to-wash,2b899183c86f4d99890afdd2dfb05384
klp-1-re-infibulation-no-health-benefits,a01f0096c8f9451eb9061033e00f4272
klp-3-re-infibulation-is-a-health-risk,e92ea55416e7493ead058b112f567147
klp-3-healthcare-worker-fgm-knowledge,b822afbf565641aa81cce0ea86a70ac4
klp-2-no-fgm-for-newborn-girl,e4c1ec5fd9984f5eb9da8e0dfc2c0692
klp-2-active-management,3989f6ea8f9742f1a7316ec63368715f
klp-1-uterotonic-drug,293073809ee84010ba503dc9481ee261
klp-1-oxytocin,cea2a28b65c24d2fb46e4b3f51467596
klp-1-dose-of-oxytocin,7d98e0b93f244924ab65b8372f43c54b
klp-1-when-to-give-oxytocin,8319c686aefc4c2986708a37db2eec86
klp-3-storage-of-oxytocin,b3051c7525d442a9a91c5303260bbf0e
klp-1-misoprostol,b0e077e51a34458bb03e8f02ae254416
klp-1-heat-stable-carbetocin,1f4e5305cbf44f5f8c73f018e5274808
klp-1-when-to-assess-the-newborn,291194f3c2e844ada74fc6c7557146cb
klp-2-thick-meconium,bea038f579574b929f1973bea97fc6b5
klp-1-suction-thick-meconium,fc8ad6799bc5488c99ee8c3f6e2b1d97
klp-2-dry-of-the-baby,e85f846050a14f3b86956c916e33f81b
klp-3-warm-baby,461c0950216a4f618e4ea5720eb97969
klp-1-newborn-not-breathing-well,a7655538a6534b019527a28e9c7ccb9d
klp-2-stable-newborn,556a12bb976c4e0a99a3ff47b54e9eeb
klp-3-clamp-umbilical-cord,02b82b94a38f475ca4b83a8aefbc9080
klp-2-cord-traction,cac37b0437ab405dae930c0c0a480995
klp-3-counter-pressure-pubic-bone,2b5cf50dc28843a8b6ef4b88d9775afa
klp-3-rounded-uterus,3be2084722b84ba4b419815cdb5a42e0
klp-3-push-for-the-placenta,5803c2fe8b1e47d193dfe1d9aa499bca
klp-1-check-uterus,ccee02d3544f45bba778668ddb84f6a0
klp-2-measure-blood-loss,e532b95d4a8d43cca8ebe03f21de1c96
klp-1-examine-the-placenta,7e17eff4dcd741af8c25ac8c004645f2
klp-2-maternal-surface-of-placenta,7b14b5bd32884897b0e7d5260e1059e0
klp-2-no-unattended-mother-and-newborn,97560e7e8c974c55be1decfcfa794cba
klp-3-skin-to-skin-contact,0e685dbc33204da1bfc9c3adaa56a397
klp-1-check-mother-after-birth,7c8ac565f7214afdbb4fc927f163f2d6
klp-3-how-often-check-mother,5f004503aa954e1a87942bf0e1ed7b3b
klp-3-how-often-check-newborn,2135fc2f5318447ca0d7c6cb5ad535bf
klp-2-check-the-newborn-after-birth,c3d6f09170e947f898308825dbf4d288
klp-3-cord-monitor,c62dd707503249c481aeeb3736b83ee6
klp-2-apgar-score-and-vit-k,0e646abf5aec41d68b526ab5b4842bc8
klp-2-early-breastfeeding-newborn,9b1475f3fb814f5db439e487595a04c6
klp-3-early-breastfeeding-mother,08b15cbfa6b54afda2fc7529ff598c13
klp-1-complication-prolonged-mother,ffdba3b327ba429ba346992493007183
klp-1-complication-prolonged-infant,5675d23692d94e86b3a1fd20e8985386
klp-2-causes,b9ab2de96f024d1aa4bd16cffeb28651
klp-2-power,33511238711245ecbb84a999b9018ef8
klp-3-pelvis-passage,0ea5623a7240403995b4ee9b5e839545
klp-3-small-pelvis,bba660bb1aa1407fb9b7b6bcee3ab7ab
klp-2-know-small-pelvis,4165bef089aa431a98f83079fc5d9878
klp-2-passenger,517712cdda954c29a5f896b65888f196
klp-3-psyche,fd026545adb742c7a6dad6891c47dc29
klp-1-pushing,de81a1685f6c426d9d0f4e80f96dd1ad
klp-3-push-how-long,d40489620d6048f6aa524013e936a803
klp-1-indication-for-vacuum,c24eb38334e14695a5ba93c3e2c38f4b
klp-1-fhr,d9ba39755cda40cca2dadf6b8161c07d
klp-2-fhr-and-contractions,dcf577d2eb4e494e879f6add0b7dd2be
klp-3-prerequisites-for-vacuum,cbef0b79cac046d09b3f305dfeede728
klp-2-complications-to-vacuum-extraction,e8f92c0fd1d64b89afd18a12fd57f9b1
klp-2-preparation-for-vacuum,7ca01a985be5428884382d16bcbfda76
klp-1-give-up-vacuum,1f6a398fd5c94f24a15525e35db94bcf
klp-3-incision,e01a5909532c4003ad546cb91c1bdc4d
klp-1-time-before-placenta-is-born,90d6d4f0e4cf4f66b700ce0aae4df48b
klp-1-remove-manually,c3182c21d3634f569f842952824d53ac
klp-1-life-threatening,4c05602b0c3143979c3bf334e7586303
klp-1-overall-action,71004c1995f841099a69f48b2d5541dd
klp-3-mother-in-shock,3db52155a4fd4d05b3a7389047895fd6
klp-1-pain-relief-1,535da4747f534bda8dc05bc7d519bc2b
klp-3-adequate-aorta-compression,af799ce3c84d44fb919eb06b1b8b8885
klp-2-maintain-compression,453fc715d669457197ba6c0796bc1575
klp-3-iv-fluid,e59b86fbb6994ab398de3aaccac95726
klp-3-fluid-gives-fast,8a9bda102cf040399580596fe43ed231
klp-3-blood-transfusion,29a431b62ad649ba89141a6d5754d551
klp-2-pain-relief,b162eb6724ae465faf42dc72ac5a0c16
klp-2-pain-relief-and-aorta-compression,e521f94802b9466ea658908adfacdb51
klp-3-gloves-and-manual-removal-of-placenta,410abea3f5434861a37f5648d1b73b95
klp-1-right-order-for-removal-of-placenta,4ae29ae6687e4ab783f044f5b7fa1906
klp-1-action-right-after-removal,67da9523cc6642a2b3620fd12fc91849
klp-1-the-overall-action-to-control-pph,6b75e02011ae4b6296c03c93af6227e4
klp-3-condom-balloon-tamponade,893f14a30c16416e97b851d7dad91190
klp-2-drug-after-removal-of-placenta,be539aef2ccd4165b725715be36d8cf4
klp-2-day-after-recommendations,8c45be5b7ece4509bd2b70c0fadcba42
klp-1-refer-manual-removal,4b4555aeae914bd584fbe91dda174978
klp-1-common-causes-of-newborn-death,f2981b49446140738cc358542f8d6a10
klp-2-death-in-first-week,ff05001e228f4543b00186f73ee978bd
klp-3-prevent-respiratory-distress-preterm,a2f76a7f8d45437aa5cd3ad6c960de74
klp-2-risk-factors-infection-newborn,3ac04d2955b14068b0712d6e236f65a2
klp-1-prevent-newborn-infections,9d5a2ba30ade4dd2b2f930fa920a65bc
klp-3-ab-to-newborn,27cef73f8a5d46b2ac6d2b2474c4c670
klp-2-risk-and-action-after-resuscitation,713f299c8cc246d68bb09e39b09de27f
klp-2-early-feeding,275a788c96e0439797aa8ae2f083ed08
klp-2-initial-care-of-the-newborn,d0593ba932b44c2b8ddd3c223e8921ae
klp-1-not-crying-or-breathing-well,9e541e72bf674cfd9fea30fc1d4bc34b
klp-1-initial-care-of-the-newborn-actions,d8e18aade81e455cae5f16548235a05c
klp-3-initial-care-of-lbw,d8a755fad0534909b901ab6522ab8445
klp-1-lbw-unable-to-suck-adequately,1f5ea6a9a10143f592b744822b9fe621
klp-3-signs-of-illness,2ec94378f6054994bbc37c5d71d76a04
klp-2-management-of-danger-signs,192ade67c02948dda681ff95ea098384
klp-2-danger-signs-airway,fd942ea6b4c7483196489a61e0618bf8
klp-1-danger-signs-breathing,c185542fb09e47b4ac4b57482ababe16
klp-2-grunting,ead854251b134e438caf9d5038af5f73
klp-3-apnoea,02394597510d45cd8533c6f6306f8c4b
klp-1-shock,24ccc9eced9340f696d5ed16c7c67f04
klp-1-disability,7a3192b0dc3e416b85b9a3c7449d7304
klp-1-danger-signs-exposure,46b0bb9ff6b84f47a4775c3abe3b1ea3
klp-3-jaundice,e8e62930f57c4a9494397d3d2b13fdb6
klp-3-management-case,e84fef2167c74abeb84cf31bfb36068e
klp-1-obstructed-airways,0d291d98b94342bfb01b4b49edae186e
klp-3-management-breathing,a52ad891ae3d4817882f239d56dcd3f0
klp-2-management-drowsy-and-unconscious,64154cf30a4d4ffe8372720b7ccaf584
klp-2-convulsions,d77bcea851d846fb9ac987bf468c6d88
klp-3-management-of-danger-signs,645b00140eef4f80b957612eeea2958d
klp-2-management-jaundice,326a1f4929f44fdba954ef6cfb7273df
klp-3-management-kangaroo-motherhood-care,df6eae171f7447f4b93471eca35e7d2a
klp-3-management-infections,ff36141c990b47c2906537d604cb5946
klp-2-risk-of-low-blood-sugar,30cdf2c038a749fdb6d2b7f5415b648b
klp-3-newborn-cannot-suck,560656082a504e7abe92efde9a14e282
klp-1-rural-facility-newborn-danger-signs,e0568488a41a4e6d8b832be04dca562c
klp-1-adequate-breathing,21a7e90a2a4d48fc9573ba5d4f498012
klp-1-golden-minute,27e59622fca148bcb83cfce37e772157
klp-1-assess-the-newborn-after-birth,055d8093f38a48a69285ac25b408e3df
